bus_id,temperature,vibration,speed,fuel_consumption,load,outlier_type,is_failure,timestamp
35,75.35,14.8,46.49,37.33,27.66,normal,0,2024-07-07 19:38:00
69,63.36,16.44,32.65,38.82,33.72,normal,0,2024-03-26 12:19:00
65,73.27,17.22,34.37,33.96,50.5,normal,0,2024-08-18 10:44:00
38,74.27,17.97,24.82,37.09,59.82,normal,0,2024-06-24 10:17:00
57,87.52,20.49,41.59,37.57,51.77,normal,0,2024-06-03 22:46:00
93,71.07,12.63,18.84,27.8,48.93,normal,0,2024-09-09 23:26:00
65,79.32,20.1,13.86,35.58,51.82,normal,0,2024-12-16 03:13:00
49,66.04,11.39,30.35,43.63,46.03,normal,0,2024-12-23 02:28:00
71,71.51,13.84,33.96,36.89,42.13,normal,0,2024-05-28 23:58:00
45,83.68,10.71,37.98,34.76,62.62,normal,0,2024-05-27 01:38:00
4,-999.0,-13.12,-34.09,-16.21,-33.86,sensor_error,0,2024-04-02 12:42:00
19,79.42,14.07,22.16,38.85,59.11,normal,0,2024-01-18 23:35:00
98,68.99,14.78,21.45,32.71,53.51,normal,0,2024-03-21 09:45:00
91,63.54,20.1,48.95,42.87,35.92,normal,0,2024-10-16 14:01:00
59,73.27,17.68,42.16,42.97,46.42,normal,0,2024-11-26 16:45:00
6,64.03,17.33,37.02,41.11,42.21,normal,0,2024-09-28 01:51:00
32,69.18,19.18,29.88,40.04,53.59,normal,0,2024-04-19 05:19:00
27,70.42,13.59,31.68,33.71,67.31,normal,0,2024-12-12 13:34:00
62,74.3,17.68,18.97,33.16,56.46,normal,0,2024-03-01 16:32:00
56,89.58,17.08,22.45,32.06,38.77,normal,0,2024-06-14 14:39:00
4,73.82,12.77,48.88,37.15,48.08,normal,0,2024-08-23 12:13:00
90,77.25,17.84,38.83,39.52,28.53,normal,0,2024-11-09 11:30:00
77,64.19,16.11,31.95,31.52,52.79,normal,0,2024-08-13 07:05:00
58,72.82,15.53,27.47,40.7,40.72,normal,0,2024-05-26 21:09:00
36,79.51,9.36,0.43,30.53,49.75,normal,0,2024-07-16 13:54:00
61,79.83,14.58,29.73,42.86,31.61,normal,0,2024-10-24 05:36:00
98,75.27,12.26,47.19,36.96,61.83,normal,0,2024-02-20 16:55:00
87,92.56,17.0,33.84,27.99,39.31,normal,0,2024-07-02 07:15:00
21,67.85,14.6,53.27,37.41,54.48,normal,0,2024-09-24 09:09:00
70,82.23,19.91,56.28,28.86,58.88,normal,0,2024-01-05 02:45:00
60,75.5,22.32,29.04,31.57,52.92,normal,0,2024-01-08 18:29:00
51,79.08,9.62,40.65,37.83,48.45,normal,0,2024-07-27 03:52:00
26,78.55,19.46,46.72,41.02,41.61,normal,0,2024-08-02 01:28:00
78,66.35,13.25,37.99,26.53,47.88,normal,0,2024-02-05 22:14:00
85,82.15,23.67,47.18,38.7,77.91,normal,0,2024-09-13 18:51:00
22,80.67,18.51,19.72,30.23,66.23,normal,0,2024-08-18 18:08:00
44,87.86,14.73,23.0,28.32,50.88,normal,0,2024-04-12 21:19:00
32,88.88,21.8,32.78,28.13,52.14,normal,0,2024-09-23 19:06:00
91,76.53,12.28,15.5,33.88,45.88,normal,0,2024-04-27 03:18:00
5,81.8,11.49,42.32,38.72,35.91,normal,0,2024-10-15 04:19:00
96,79.49,14.48,52.78,39.14,46.08,normal,0,2024-08-01 16:37:00
70,76.7,10.85,27.23,34.02,62.6,normal,0,2024-08-06 17:03:00
51,74.16,16.48,21.46,36.87,33.23,normal,0,2024-06-29 20:03:00
100,61.56,21.63,32.9,24.14,45.19,normal,0,2024-09-28 11:07:00
73,75.94,11.61,45.4,39.67,42.02,normal,0,2024-11-18 00:20:00
63,75.24,7.96,54.48,39.14,37.94,normal,0,2024-10-21 00:51:00
12,67.44,20.52,35.73,46.09,50.37,normal,0,2024-10-28 05:41:00
8,63.21,18.86,41.04,37.67,57.53,normal,0,2024-02-16 07:45:00
5,97.53,7.57,48.34,35.72,40.89,normal,0,2024-07-02 15:23:00
50,76.68,22.7,49.02,40.28,63.38,normal,0,2024-08-07 22:30:00
26,91.06,13.27,25.95,31.22,58.17,normal,0,2024-07-24 18:51:00
13,77.63,5.12,19.45,40.77,53.73,normal,0,2024-07-01 21:24:00
9,92.84,12.72,14.39,39.06,43.77,normal,0,2024-10-19 18:36:00
94,71.35,14.74,36.56,36.21,52.93,normal,0,2024-04-27 22:25:00
24,81.27,18.67,31.03,35.77,43.23,normal,0,2024-10-23 02:29:00
56,73.32,15.9,16.63,30.43,38.86,normal,0,2024-12-24 05:41:00
14,72.37,13.63,50.81,49.35,67.03,normal,0,2024-04-16 13:55:00
3,71.43,12.39,33.77,37.49,78.68,normal,0,2024-06-20 18:10:00
30,68.0,8.6,32.06,30.24,55.98,normal,0,2024-07-25 01:54:00
22,80.39,18.83,50.13,40.04,59.01,normal,0,2024-07-10 13:36:00
64,73.82,14.74,25.03,34.9,71.61,normal,0,2024-07-23 18:15:00
72,65.98,16.35,33.83,45.66,47.43,normal,0,2024-12-05 19:34:00
18,75.96,18.93,37.04,26.32,41.82,normal,0,2024-08-14 13:36:00
29,66.94,3.92,36.76,31.92,56.67,normal,0,2024-01-02 02:20:00
100,77.57,9.93,49.28,36.81,60.83,normal,0,2024-08-20 13:31:00
96,54.12,15.07,26.72,32.97,47.59,normal,0,2024-10-27 14:03:00
47,78.75,12.31,49.11,41.35,40.72,normal,0,2024-06-10 21:32:00
98,65.89,15.56,27.18,34.04,59.62,normal,0,2024-06-12 17:56:00
82,65.84,10.9,21.44,34.74,53.2,normal,0,2024-03-17 13:05:00
63,71.95,16.94,42.48,34.61,60.82,normal,0,2024-11-10 19:30:00
6,84.78,21.47,33.97,30.62,42.81,normal,0,2024-10-28 02:55:00
59,79.89,16.36,22.11,32.53,46.01,normal,0,2024-06-16 01:05:00
12,81.08,9.58,29.77,33.67,33.65,normal,0,2024-02-09 08:42:00
95,80.39,19.5,52.66,38.76,41.75,normal,0,2024-06-06 21:34:00
86,86.22,16.91,37.25,39.23,41.42,normal,0,2024-12-05 19:41:00
47,82.49,19.98,55.24,32.82,35.22,normal,0,2024-04-14 18:30:00
38,69.74,21.54,44.82,37.18,33.71,normal,0,2024-09-24 15:03:00
22,68.82,10.91,35.6,37.46,51.8,normal,0,2024-07-19 21:24:00
33,64.44,10.27,40.07,26.79,35.78,normal,0,2024-09-28 15:35:00
80,71.18,18.12,40.41,32.65,51.01,normal,0,2024-04-01 23:03:00
34,88.77,17.56,24.25,35.99,37.41,normal,0,2024-01-28 00:11:00
20,66.67,7.55,31.67,35.23,48.06,normal,0,2024-11-06 21:02:00
72,93.44,18.55,53.55,34.09,39.41,normal,0,2024-04-06 16:26:00
35,75.2,10.41,32.16,34.78,42.74,normal,0,2024-04-29 04:02:00
73,83.96,19.28,27.27,34.64,36.55,normal,0,2024-09-04 12:11:00
75,59.62,19.62,44.61,38.39,47.98,normal,0,2024-05-10 21:59:00
92,83.85,15.24,13.39,34.26,74.45,normal,0,2024-07-20 07:38:00
74,68.94,20.08,32.16,36.02,25.6,normal,0,2024-10-07 06:26:00
77,76.28,14.3,52.26,38.13,40.94,normal,0,2024-07-17 22:37:00
86,75.52,17.72,41.11,35.55,40.84,normal,0,2024-06-09 00:17:00
90,68.21,17.42,39.53,31.35,69.01,normal,0,2024-07-05 03:44:00
1,58.05,16.88,45.24,34.89,35.39,normal,0,2024-11-25 06:35:00
29,75.24,12.72,27.51,32.77,53.12,normal,0,2024-04-05 12:12:00
6,72.77,11.73,42.66,39.01,66.92,normal,0,2024-05-15 16:51:00
13,83.51,17.66,36.95,32.07,31.87,normal,0,2024-04-05 13:21:00
53,78.73,16.78,42.04,41.94,54.53,normal,0,2024-10-05 18:09:00
71,74.2,9.23,42.05,37.66,39.64,normal,0,2024-07-31 22:09:00
53,76.76,10.6,36.59,36.56,53.01,normal,0,2024-02-20 22:18:00
9,78.61,16.08,44.83,38.12,42.09,normal,0,2024-05-11 17:58:00
54,90.8,17.76,25.16,34.5,32.23,normal,0,2024-04-28 11:56:00
59,62.11,16.7,37.97,40.08,49.85,normal,0,2024-04-05 20:47:00
4,81.02,16.15,4.14,31.41,33.84,normal,0,2024-12-21 16:04:00
59,78.3,18.39,29.83,36.4,38.49,normal,0,2024-02-04 22:18:00
49,79.43,19.51,39.21,40.28,60.11,normal,0,2024-10-16 15:15:00
81,78.59,17.12,45.21,31.51,60.52,normal,0,2024-09-21 14:02:00
54,68.57,8.75,36.06,28.88,41.33,normal,0,2024-11-24 07:07:00
14,84.76,10.04,43.77,39.68,42.66,normal,0,2024-10-27 15:30:00
13,77.16,12.09,58.81,29.43,34.88,normal,0,2024-10-18 16:34:00
45,93.34,3.28,24.04,35.45,56.35,normal,0,2024-02-12 09:36:00
60,70.07,12.36,34.02,40.47,73.7,normal,0,2024-06-06 09:34:00
24,78.35,16.93,42.17,40.15,81.95,normal,0,2024-05-20 13:23:00
57,70.61,15.61,37.39,29.81,45.78,normal,0,2024-12-27 09:44:00
57,91.15,20.69,18.92,31.25,38.3,normal,0,2024-11-26 03:25:00
25,66.85,18.49,34.99,39.57,46.67,normal,0,2024-05-10 14:19:00
53,71.44,14.05,24.56,35.62,86.86,normal,0,2024-04-19 16:01:00
89,64.38,10.15,33.51,32.02,64.71,normal,0,2024-06-17 21:35:00
42,84.68,15.78,31.09,30.46,57.1,normal,0,2024-01-10 09:31:00
19,70.63,10.98,12.54,32.9,39.99,normal,0,2024-02-11 16:48:00
54,89.43,15.74,29.51,30.88,57.67,normal,0,2024-01-19 20:52:00
15,51.27,20.04,26.39,30.22,21.25,normal,0,2024-11-09 20:57:00
68,80.63,13.76,27.02,36.07,57.66,normal,0,2024-11-16 18:18:00
1,81.13,21.36,30.68,36.14,78.77,normal,0,2024-09-03 11:20:00
72,78.96,14.97,30.89,33.57,40.57,normal,0,2024-05-19 20:22:00
92,86.49,12.6,30.52,30.62,66.26,normal,0,2024-05-01 13:54:00
39,80.67,10.13,34.22,31.25,48.63,normal,0,2024-09-16 11:04:00
89,81.55,13.15,33.42,35.42,28.85,normal,0,2024-11-17 02:51:00
92,79.39,23.13,42.21,35.14,56.48,normal,0,2024-10-20 22:02:00
28,69.44,19.35,25.32,34.35,25.11,normal,0,2024-06-24 00:38:00
74,73.5,19.52,33.81,40.21,79.38,normal,0,2024-08-14 21:43:00
61,77.5,19.87,42.36,34.26,72.17,normal,0,2024-12-29 14:17:00
54,67.37,12.53,44.49,29.22,42.95,normal,0,2024-04-30 13:43:00
90,79.16,11.83,30.7,40.57,29.83,normal,0,2024-01-26 17:22:00
33,81.01,16.86,18.77,33.26,55.43,normal,0,2024-03-20 04:15:00
75,83.86,11.7,37.68,39.75,76.6,normal,0,2024-02-28 02:36:00
67,70.09,17.47,36.72,38.03,54.73,normal,0,2024-10-28 11:10:00
29,75.17,15.89,55.03,33.41,45.0,normal,0,2024-12-22 19:29:00
8,85.58,8.13,44.81,38.22,73.1,normal,0,2024-10-12 07:54:00
91,68.46,14.44,50.33,30.83,47.46,normal,0,2024-09-07 00:08:00
27,77.12,23.24,42.66,34.73,18.71,normal,0,2024-02-12 15:49:00
55,75.83,12.17,15.16,35.26,31.8,normal,0,2024-09-30 00:09:00
71,79.74,15.8,26.25,37.32,49.09,normal,0,2024-02-24 13:00:00
59,69.75,18.81,50.44,29.51,79.15,normal,0,2024-03-20 20:17:00
72,67.66,10.85,46.84,39.3,43.05,normal,0,2024-06-15 19:08:00
29,75.28,14.45,43.67,32.08,60.59,normal,0,2024-05-09 06:42:00
42,69.81,17.88,32.03,34.39,67.48,normal,0,2024-01-12 19:16:00
20,70.36,8.45,48.46,36.25,65.85,normal,0,2024-02-03 14:05:00
6,68.55,13.12,32.37,33.36,33.06,normal,0,2024-11-06 09:23:00
18,70.62,17.22,14.38,40.38,67.31,normal,0,2024-01-02 03:44:00
34,77.33,20.2,25.85,34.61,50.51,normal,0,2024-11-12 22:59:00
93,78.48,13.02,61.5,29.7,45.63,normal,0,2024-04-02 18:39:00
48,74.16,13.99,29.52,35.41,35.29,normal,0,2024-12-28 00:57:00
98,80.33,18.45,42.99,30.39,56.95,normal,0,2024-05-09 23:17:00
84,78.43,20.49,22.22,32.57,33.45,normal,0,2024-04-07 01:41:00
64,65.15,18.31,11.89,31.74,34.64,normal,0,2024-11-10 07:23:00
6,77.99,15.83,54.29,46.87,33.56,normal,0,2024-04-15 12:58:00
83,84.7,10.84,24.01,45.13,37.28,normal,0,2024-11-20 18:02:00
44,-41.54,467.63,325.68,-17.49,-10.15,sensor_error,0,2024-02-15 13:19:00
25,79.67,8.97,45.13,38.78,57.12,normal,0,2024-09-17 00:45:00
37,79.01,9.4,27.75,31.35,55.03,normal,0,2024-10-08 19:34:00
22,73.32,12.56,44.11,31.1,59.61,normal,0,2024-04-03 04:47:00
25,78.87,15.86,26.84,31.3,51.47,normal,0,2024-07-05 10:41:00
2,89.86,14.93,39.25,38.44,51.61,normal,0,2024-05-27 06:44:00
91,74.09,16.58,42.51,29.18,22.47,normal,0,2024-11-09 07:20:00
23,85.76,11.58,10.02,42.63,63.74,normal,0,2024-11-21 17:34:00
100,96.99,11.82,38.89,34.53,56.56,normal,0,2024-11-20 07:44:00
77,68.94,20.18,21.53,33.61,61.52,normal,0,2024-05-09 00:18:00
86,83.61,12.6,32.92,26.56,54.43,normal,0,2024-07-17 09:13:00
44,70.07,10.72,27.78,36.85,51.55,normal,0,2024-05-20 06:03:00
53,80.47,17.78,19.18,24.11,20.09,normal,0,2024-06-24 08:12:00
13,85.92,9.44,58.41,40.1,43.76,normal,0,2024-09-26 21:45:00
55,81.06,13.11,42.08,31.53,58.87,normal,0,2024-06-25 09:58:00
72,81.41,18.2,30.55,44.5,59.53,normal,0,2024-12-16 03:37:00
51,77.35,13.1,49.23,35.78,63.56,normal,0,2024-12-08 06:32:00
47,82.3,14.22,21.98,37.55,85.39,normal,0,2024-09-29 23:07:00
24,71.5,15.92,30.95,31.55,54.83,normal,0,2024-09-06 23:49:00
75,64.45,12.0,49.97,37.86,60.4,normal,0,2024-04-03 10:11:00
12,79.23,12.28,52.05,35.25,47.72,normal,0,2024-11-08 20:49:00
82,66.28,16.06,34.39,30.94,52.67,normal,0,2024-10-19 06:52:00
64,72.74,17.71,51.35,45.37,54.7,normal,0,2024-03-15 19:23:00
99,79.46,16.08,43.27,40.07,49.8,normal,0,2024-09-09 16:12:00
5,75.88,9.8,34.22,39.71,49.21,normal,0,2024-03-08 08:40:00
54,88.0,19.97,37.2,37.12,38.1,normal,0,2024-04-25 09:14:00
23,72.22,15.06,24.75,38.48,22.97,normal,0,2024-10-18 04:51:00
66,82.76,9.96,53.4,33.69,58.47,normal,0,2024-11-24 11:08:00
57,96.07,12.39,60.05,32.79,20.14,normal,0,2024-10-01 13:16:00
90,85.47,10.79,22.23,35.35,45.74,normal,0,2024-03-21 22:32:00
1,74.85,18.92,28.21,33.3,24.26,normal,0,2024-06-29 18:48:00
54,68.22,19.71,31.2,41.15,54.88,normal,0,2024-10-02 22:21:00
56,79.08,21.52,38.13,34.36,54.73,normal,0,2024-08-10 20:42:00
45,67.53,11.06,38.05,35.64,59.0,normal,0,2024-07-12 00:09:00
16,72.88,8.57,27.82,38.69,55.48,normal,0,2024-01-16 12:23:00
3,96.25,15.69,32.37,40.72,59.21,normal,0,2024-07-21 04:40:00
51,73.64,14.93,56.64,30.43,72.94,normal,0,2024-05-09 18:50:00
52,68.04,13.81,29.06,25.78,65.09,normal,0,2024-01-28 07:57:00
87,78.77,15.56,42.13,31.89,23.99,normal,0,2024-10-16 06:56:00
50,84.68,9.9,16.72,33.82,61.63,normal,0,2024-12-22 19:15:00
65,74.26,20.24,15.08,32.51,74.87,normal,0,2024-03-26 08:44:00
93,75.41,15.61,40.03,31.12,35.71,normal,0,2024-02-08 13:06:00
52,71.89,23.84,28.79,32.35,57.09,normal,0,2024-03-14 18:38:00
24,79.97,17.81,37.56,34.34,30.05,normal,0,2024-05-18 22:09:00
71,-999.0,-39.98,-16.49,-22.4,-14.21,sensor_error,0,2024-04-18 05:11:00
5,73.27,16.04,40.01,34.01,26.32,normal,0,2024-03-02 08:10:00
70,68.96,14.48,24.17,35.64,51.05,normal,0,2024-04-03 00:08:00
6,82.6,14.5,36.5,31.25,46.88,normal,0,2024-04-17 18:33:00
38,77.12,15.72,33.09,37.87,69.69,normal,0,2024-02-08 08:37:00
92,98.5,12.52,60.06,38.53,61.09,normal,0,2024-06-24 02:21:00
15,83.47,13.79,45.67,31.62,48.7,normal,0,2024-11-25 23:08:00
23,61.76,22.59,37.62,37.73,26.1,normal,0,2024-12-24 23:55:00
69,83.85,11.66,38.8,34.53,46.0,normal,0,2024-04-08 08:16:00
26,93.41,11.57,40.55,37.98,95.0,normal,0,2024-06-07 02:38:00
57,80.18,11.61,61.78,31.98,50.04,normal,0,2024-05-06 11:29:00
76,77.37,16.42,23.22,35.45,64.32,normal,0,2024-11-24 20:44:00
25,72.84,13.96,42.76,32.04,37.82,normal,0,2024-06-10 18:49:00
33,87.76,18.54,33.6,35.71,89.37,normal,0,2024-01-02 22:34:00
3,69.7,7.86,25.9,30.94,38.12,normal,0,2024-04-15 21:39:00
69,91.85,19.86,26.0,38.66,33.4,normal,0,2024-11-23 04:58:00
9,88.39,10.41,11.35,35.96,48.75,normal,0,2024-08-20 00:51:00
85,86.44,16.51,58.43,32.91,34.56,normal,0,2024-12-10 12:34:00
15,87.9,11.93,36.58,39.75,62.17,normal,0,2024-07-20 11:11:00
64,83.9,19.09,37.07,36.99,73.07,normal,0,2024-08-19 11:24:00
39,77.97,16.5,51.95,36.15,45.74,normal,0,2024-10-06 09:51:00
18,76.7,10.5,43.02,37.19,72.23,normal,0,2024-08-28 07:29:00
7,78.91,18.02,28.84,23.87,39.98,normal,0,2024-11-19 23:21:00
78,76.09,7.78,59.38,39.05,26.46,normal,0,2024-01-13 02:02:00
48,83.41,13.4,28.1,44.43,52.06,normal,0,2024-08-09 05:46:00
98,88.05,15.96,56.68,37.41,29.85,normal,0,2024-11-30 09:59:00
77,-11.46,-65.16,-46.61,-9.24,183.96,sensor_error,0,2024-12-18 20:54:00
74,79.26,12.4,32.51,31.4,79.82,normal,0,2024-02-10 08:53:00
94,78.07,12.63,21.02,30.43,61.8,normal,0,2024-08-01 08:09:00
64,80.61,15.41,36.05,38.56,45.89,normal,0,2024-08-24 18:55:00
39,78.6,19.75,22.71,36.22,68.95,normal,0,2024-05-12 01:38:00
60,60.59,16.86,40.68,33.17,57.89,normal,0,2024-12-22 11:33:00
55,81.86,10.05,38.56,32.31,62.83,normal,0,2024-01-11 01:48:00
59,72.34,10.03,42.0,34.73,64.19,normal,0,2024-09-25 19:44:00
69,88.25,14.75,28.93,28.0,62.96,normal,0,2024-09-09 04:20:00
67,77.22,18.88,25.16,33.74,77.88,normal,0,2024-10-06 09:35:00
78,78.11,15.71,48.06,36.44,47.6,normal,0,2024-10-08 16:53:00
87,79.67,14.99,36.16,36.14,41.65,normal,0,2024-01-07 08:29:00
19,79.81,16.04,37.42,39.33,50.07,normal,0,2024-09-15 16:07:00
90,82.46,16.61,21.12,34.85,66.0,normal,0,2024-06-12 17:31:00
7,68.54,21.22,36.41,30.51,48.32,normal,0,2024-07-20 00:33:00
29,87.06,15.29,30.44,36.67,69.25,normal,0,2024-08-18 15:18:00
77,75.46,13.21,17.04,26.97,32.67,normal,0,2024-08-25 08:55:00
95,85.55,19.21,25.7,25.62,58.52,normal,0,2024-03-19 01:14:00
2,70.97,14.47,12.13,34.41,39.24,normal,0,2024-03-22 12:56:00
94,72.28,12.93,30.77,40.93,68.59,normal,0,2024-02-03 22:08:00
67,64.84,10.26,58.84,37.18,45.58,normal,0,2024-10-20 13:50:00
89,69.59,19.11,44.27,32.28,21.45,normal,0,2024-05-04 20:48:00
59,71.19,13.05,32.67,43.44,47.76,normal,0,2024-05-30 05:04:00
1,79.45,15.43,33.3,35.78,49.33,normal,0,2024-10-21 13:55:00
52,78.94,16.11,54.08,32.76,62.13,normal,0,2024-09-11 18:08:00
65,77.02,12.34,22.83,30.02,53.42,normal,0,2024-08-31 01:08:00
24,64.44,15.16,27.6,34.64,70.4,normal,0,2024-03-04 05:41:00
3,90.86,17.94,40.75,37.26,62.55,normal,0,2024-07-09 06:58:00
36,75.3,8.1,47.73,25.93,77.31,normal,0,2024-06-18 22:29:00
54,71.3,12.55,32.24,34.42,52.15,normal,0,2024-11-02 18:56:00
6,83.27,12.2,60.07,26.74,33.56,normal,0,2024-02-09 12:12:00
76,79.31,11.77,48.62,32.27,36.32,normal,0,2024-07-21 15:53:00
60,82.71,16.13,40.5,36.94,79.78,normal,0,2024-03-08 08:09:00
65,67.17,20.62,26.82,33.22,32.53,normal,0,2024-03-23 10:00:00
45,78.89,15.38,31.2,38.24,72.77,normal,0,2024-11-21 12:34:00
78,80.38,22.06,45.94,42.67,68.93,normal,0,2024-05-22 08:15:00
37,80.61,13.84,33.81,28.27,70.63,normal,0,2024-08-09 13:42:00
21,77.95,21.34,0.73,38.99,74.43,normal,0,2024-09-10 13:12:00
60,82.29,18.56,33.45,32.97,43.79,normal,0,2024-07-24 11:20:00
92,79.33,21.28,53.23,22.95,46.52,normal,0,2024-01-01 03:19:00
95,78.19,19.17,21.64,41.31,68.53,normal,0,2024-09-18 18:00:00
22,66.77,17.83,56.16,40.34,66.13,normal,0,2024-11-28 09:18:00
35,72.57,16.35,32.36,39.38,53.94,normal,0,2024-04-20 01:51:00
94,64.97,11.64,18.97,31.65,45.25,normal,0,2024-05-25 05:50:00
59,79.58,13.6,27.83,36.39,24.98,normal,0,2024-04-01 00:10:00
20,69.11,19.63,37.67,36.61,64.74,normal,0,2024-07-11 00:02:00
94,79.41,9.21,30.11,33.46,58.01,normal,0,2024-09-20 16:38:00
94,50.96,9.19,19.0,35.58,35.49,normal,0,2024-10-08 03:44:00
48,78.36,18.71,36.9,47.56,62.24,normal,0,2024-07-16 11:14:00
25,71.43,20.92,47.0,42.79,39.04,normal,0,2024-10-30 22:34:00
44,70.9,12.81,42.59,41.25,26.87,normal,0,2024-05-24 06:52:00
74,75.26,16.08,40.4,31.59,48.85,normal,0,2024-05-20 18:58:00
16,61.29,7.84,39.05,33.73,68.83,normal,0,2024-07-08 04:33:00
16,83.62,17.02,40.97,32.12,37.11,normal,0,2024-06-03 23:22:00
34,73.14,14.88,42.83,41.66,46.07,normal,0,2024-05-24 10:43:00
41,80.6,19.73,35.96,35.62,48.67,normal,0,2024-11-24 16:35:00
65,73.62,19.13,22.0,43.48,71.24,normal,0,2024-06-12 14:03:00
23,86.4,6.58,21.71,31.14,77.96,normal,0,2024-02-21 19:10:00
96,70.92,17.41,50.54,29.51,60.25,normal,0,2024-10-08 15:10:00
87,79.42,20.31,28.11,33.25,37.57,normal,0,2024-11-29 14:47:00
18,77.74,13.88,40.29,42.95,45.95,normal,0,2024-02-03 14:16:00
95,74.56,17.28,28.95,31.25,43.16,normal,0,2024-08-28 22:28:00
37,68.16,18.57,39.05,35.38,58.22,normal,0,2024-01-30 17:50:00
